Position,Team,Mp,Pts,Top scorer,Gls/90
1,Bayern Munich,25,66,Harry Kane-30,3.68
2,Dortmund,25,55,Serhou Guirassy-12,2.12
3,Hoffenheim,25,49,Andrej Kramarić-10,2.12
4,Stuttgart,25,47,Deniz Undav-15,2.0
5,RB Leipzig,25,47,"Christoph Baumgartner,Yan Diomandé-10",1.92
6,Leverkusen,25,44,Patrik Schick-7,1.92
7,Eintracht Frankfurt,25,35,Jonathan Burkardt-9,1.92
8,Freiburg,25,34,Vincenzo Grifo-7,1.48
9,Augsburg,25,31,Alexis Claude-Maurice-4,1.24
10,Hamburger SV,25,29,"Rayan Philippe,Luka Vušković-5",1.12
11,Union Berlin,25,28,"Rani Khedira,Ilyas Ansah-5",1.2
12,Gladbach,25,25,Haris Tabakovic-11,1.12
13,Werder Bremen,25,25,Jens Stage-7,1.16
14,Köln,25,24,Said El Mala-8,1.36
15,Mainz 05,25,24,Nadiem Amiri-10,1.16
16,St Pauli,25,24,"Danel Sinani,Andreas Hountondji-4",0.92
17,Wolfsburg,25,20,Mohamed Amoura-8,1.36
18,Heidenheim,25,14,Stefan Schimmer-5,0.96
